conceptdoi,title,unique_downloads,unique_views,created
4050579,10.5281/zenodo.4050578,"A survey of Hogna carolinensis burrows on Nantucket Island, MA",4.0,5.0,2020-09-25T22:59:58.787703+00:00
4050417,10.5281/zenodo.4050416,Factors Influencing Crab Species Abundance in New England Seagrass Beds,3.0,5.0,2020-09-25T18:40:30.163052+00:00
4050409,10.5281/zenodo.4050408,Results of a survey of macroscopic beach dependent invertebrates and attempted comparison between beaches experiencing different levels of motorized recreation,4.0,5.0,2020-09-25T18:33:42.407445+00:00
4050403,10.5281/zenodo.4050402,A search for female specimens of an undescribed spider species in the genus Tiso,4.0,5.0,2020-09-25T18:26:33.021968+00:00
4047125,10.5281/zenodo.4047124,Roosting Habits and Behavior of Northern Long-Eared bats on Nantucket,2.0,5.0,2020-09-23T22:13:53.851462+00:00
4047121,10.5281/zenodo.3782819,An exploratory study of northern long-eared bats on Nantucket,2.0,4.0,2020-09-23T22:03:18.935947+00:00
4029272,10.5281/zenodo.4029271,"A Survey of Queen Anne's Lace on Nantucket and an Assessment of its Effect on Native Pollination, Year Two",4.0,9.0,2020-09-14T17:55:13.447166+00:00
4029264,10.5281/zenodo.4029263,A Survey of Queen Anne's Lace on Nantucket and an Assessment of its Effect on Native Pollination,2.0,5.0,2020-09-14T17:46:18.197361+00:00
4025430,10.5281/zenodo.4025429,Bat Acoustic Survey for Nantucket,5.0,10.0,2020-09-11T23:33:44.375199+00:00
4025428,10.5281/zenodo.4025427,How do cross-ecosystem interactions affect Nantucket salt marsh food web structure and ecosystem functioning?,2.0,5.0,2020-09-11T23:23:50.875877+00:00
4025426,10.5281/zenodo.4025425,Using Ground-Penetrating Radar to Map Buried Trunks of Prostrate-Growing Eastern Red Cedar Trees on Coskata/Coatue Wildlife Refuge,2.0,6.0,2020-09-11T23:20:05.877154+00:00
4023222,10.5281/zenodo.4023221,Systematic Survey for Otter Activity on Nantucket April 2014,2.0,7.0,2020-09-10T22:43:48.469201+00:00
4023220,10.5281/zenodo.4023219,A survey for the invasive ant Lasius cf. niger on Nantucket Island,2.0,6.0,2020-09-10T22:38:37.747426+00:00
4012714,10.5281/zenodo.4012713,"Data for Mooring Impacts on Zostera marina Meadows and Associated Epifauna in Nantucket Harbor, Massachusetts, USA",3.0,5.0,2020-09-02T23:59:32.565560+00:00
3988596,10.5281/zenodo.3988595,A tale of two islands: Ant diversity on Tuckernuck and Muskeget Islands,3.0,7.0,2020-08-17T20:32:35.940429+00:00
3988588,10.5281/zenodo.3988587,Population Genetic Structure of Massachusetts Spotted Turtles using Microsatellite Markers,2.0,5.0,2020-08-17T20:26:25.192966+00:00
3966491,10.5281/zenodo.3966490,"Mist Netting of Bats on Tuckernuck Island, Nantucket, MA August-October 2011",3.0,7.0,2020-07-29T22:44:00.715471+00:00
3966488,10.5281/zenodo.3966487,"Vegetation cover type effects arbuscular mycorrhizal sport density in Nantucket Island, Massachusetts",1.0,4.0,2020-07-29T22:39:28.111858+00:00
3956827,10.5281/zenodo.3956826,Moth Mania - A Citizen Scientist Survey of the Moths of Nantucket,3.0,6.0,2020-07-22T21:22:45.448816+00:00
3956825,10.5281/zenodo.3956824,Population genetics of invasive weeds Centaurea maculosa and Centarea jacea on Nantucket Island,2.0,11.0,2020-07-22T21:17:28.163133+00:00
3956821,10.5281/zenodo.3956820,Disturbance-based Management and Plant Species Change in Massachusetts Sandplain Heathlands Over the Past Two Decades,2.0,5.0,2020-07-22T21:11:32.891657+00:00
3955323,10.5281/zenodo.3955322,Testing the Rapid Assessment Protocol for Spiders and Millipedes in Nantucket Sandplain Grassland and Coastal Heathland,4.0,7.0,2020-07-22T02:51:49.352999+00:00
3942680,10.5281/zenodo.3942679,Genomic Characterization of Filamentous Cyanobacteria on Nantucket Beaches,5.0,6.0,2020-07-13T22:37:02.416196+00:00
3942676,10.5281/zenodo.3942675,Diversity and toxin production of cyanobacteria on Nantucket island,6.0,9.0,2020-07-13T22:30:38.102599+00:00
3942672,10.5281/zenodo.3942671,Inventory of Nantucket Fungi,2.0,4.0,2020-07-13T22:21:44.215550+00:00
3942586,10.5281/zenodo.3942585,2008 Summary Report for the Nantucket Spider Biodiversity Inventory,4.0,9.0,2020-07-13T20:37:27.005209+00:00
3942568,10.5281/zenodo.3942567,"Comparing harvestmen species composition between habitats on Nantucket Island, Massachusetts",9.0,11.0,2020-07-13T20:28:06.458772+00:00
3942563,10.5281/zenodo.3942562,"Continuation of the Earthworm Survey on Nantucket, Tuckernuck, and Muskeget Islands, Massachusetts",3.0,6.0,2020-07-13T20:14:54.231980+00:00
3937705,10.5281/zenodo.3937704,"Earthworm species assemblage and distribution on Nantucket and Tuckernuck Islands, Massachusetts",6.0,8.0,2020-07-09T19:10:40.040580+00:00
3925865,10.5281/zenodo.3925864,"An Investigation into headless millipedes on Tuckernuck Island, MA",10.0,21.0,2020-07-01T16:38:47.371842+00:00
3925854,10.5281/zenodo.3925853,Permanently marking Sphodros rufipes pursewebs for long term monitoring on Tuckernuck Island,5.0,9.0,2020-07-01T16:31:18.177749+00:00
3900585,10.5281/zenodo.3900584,"The Nantucket Biodiversity Initiative A Checklist of the Lichens on Nantucket Island. Town of Nantucket, Nantucket County, MA, USA",4.0,9.0,2020-06-18T21:12:42.612433+00:00
3900573,10.5281/zenodo.3900572,Bryophytes of Nantucket,4.0,9.0,2020-06-18T21:00:19.406732+00:00
3900568,10.5281/zenodo.3900567,Summary Report of the Nantucket Spider Biodiversity Inventory,6.0,14.0,2020-06-18T20:47:55.312550+00:00
3900560,10.5281/zenodo.3900559,The summer assemblage of spiders in a Nantucket sandplain grassland and heathland habitat,8.0,13.0,2020-06-18T20:39:59.782554+00:00
3900552,10.5281/zenodo.3900551,"The Biodiversity and Distribution of the Spiders of Nantucket Island, Massachusetts with Comments on Tuckernuck and Muskeget Island species",7.0,14.0,2020-06-18T20:31:57.740480+00:00
3841617,10.5281/zenodo.3841616,Investigating terrestrial isopod abundance in sandplain grassland using a  multiple linear regression,15.0,20.0,2020-05-24T00:16:00.976605+00:00
3841216,10.5281/zenodo.3841215,Effects of Sandplain Grassland Management on Spider Richness and Abundance on Nantucket Island,11.0,15.0,2020-05-23T15:29:36.346583+00:00
3841179,10.5281/zenodo.3841178,Dispersal and population dynamics of the New England American oystercatcher (Haematopus palliatus),5.0,12.0,2020-05-23T14:48:27.474383+00:00
3840635,10.5281/zenodo.3840634,Amphibian Recording Status Update for 2009,5.0,9.0,2020-05-22T23:37:33.693378+00:00
3818979,10.5281/zenodo.3818978,Biodiversity of the tunicate fauna at Nantucket and Muskeget Islands,4.0,9.0,2020-05-09T23:48:22.076069+00:00
3818974,10.5281/zenodo.3818973,Inventory of Nantucket Macrofungi,6.0,13.0,2020-05-09T23:28:10.916680+00:00
3802158,10.5281/zenodo.3802157,Inventory of the ants of Nantucket,6.0,13.0,2020-05-06T15:58:59.242445+00:00
3802029,10.5281/zenodo.3802028,"Spider species composition in Gaylussacia baccata clones of varying sizes on Nantucket Island, Massachusetts",10.0,14.0,2020-05-06T15:49:03.529836+00:00
3783801,10.5281/zenodo.3783800,Comparison of aboveground arthropod diversity within pitch pine and scrub oak barrens habitats on Nantucket Island with emphasis on the beetle fauna,5.0,11.0,2020-05-04T00:07:04.923335+00:00
3782795,10.5281/zenodo.3782794,A Preliminary Inventory of the Leafhoppers (Cicadellidae) of Nantucket Island,6.0,12.0,2020-05-02T21:04:00.537530+00:00
3782785,10.5281/zenodo.3782784,2007 Survey for the purseweb spiders Sphodros niger and Sphodros rufipes,6.0,15.0,2020-05-02T19:55:59.128298+00:00
3782768,10.5281/zenodo.3782767,"Evolution of Reduced Competitive Ability (ERCA) hypothesis on islands: low competitor pressure drives evolution of decreased growth, increased reproduction and herbivore tolerance in nonnative plants",7.0,13.0,2020-05-02T19:40:44.337305+00:00
3757466,10.5281/zenodo.3757465,"Data for vertebrate scavenger species composition on Nantucket Island, Massachusetts and implications for Nicrophorus americanus Olivier (American burying beetle) reintroduction",14.0,29.0,2020-04-20T20:19:52.118487+00:00
3753187,10.5281/zenodo.3753186,Distribution and genetic diversity of the invasive clinging jellyfish Gonionemus vertens on Nantucket and Muskeget Islands,6.0,11.0,2020-04-15T16:29:46.581649+00:00
3753099,10.5281/zenodo.3753098,Dragonfly and Damselfly populations on Nantucket Island,19.0,33.0,2020-04-15T16:17:32.568678+00:00
3752293,10.5281/zenodo.3752292,"Diet and Foraging of Herring and Great Black-backed Gulls On Tuckernuck and Muskeget Islands, Massachusetts in 2016",8.0,12.0,2020-04-15T14:58:45.759087+00:00
3745607,10.5281/zenodo.3745606,"Data for an unusually dense population of Sphodros rufipes  (Latreille 1829) (Mygalomorphae, Atypidae) at the edge of its range on Tuckernuck Island, Massachusetts",14.0,31.0,2020-04-08T23:27:27.536989+00:00
